Mixin,Field name,Data type,Multiple,Description,Internal field name,defaultValue,isInMixinRef,indexInId,isInstanciable,isStorage,isDefinition,Inherits,Has Mixins,fieldAndMixins,isHistorizable,isContributable,documentation,maxScan,storageModel,defaultLanguage
geo:City_0,geo_city:nuts3.geo_NUTS:country.geo_country:idIso,String,,NB. autolinking wouldn't work here,geo_country:idIso,,,,,,,,,,,,,,,
geo:City_0,geo_city:name,i18n,,id ville = nuts3 + nom,,,,1,,false,,,"geo:Area_0,o:Ancestor_0",,,,,,,
geo:City_0,geo_city:name.l,String,,default language,,fr,,,,,,,,,,,,,,
geo:City_0,geo_city:name.v,String,,,geo_city:name,,,,,,,,,,,,,,,
geo:City_0,geo_city:country,geo:Country_0,,NO internal field name but autolinking,,,,,,,,,,,,,,,,
geo:City_0,geo_city:idStat,String,,,geo_city:idStat,,,,,,,,,,,,,,,
geo:City_0,geo_city:idNational,String,,To specify differently for each country ! OR is (a rule on) (one of the) other fields ?,geo_city:idNational,,,,,,,,,,,,,,,
geo:City_0,geo_city:nuts2,geo:NUTS_0,,No need for dotted path to autolink to main NUTS(2) ; NO internal field name but subresource linking,,,,,,,,,,,,,,,,
geo:City_0,geo_city:nuts3,geo:NUTS_0,,NO internal field name but subresource linking,,,,0,,,,,,,,,,,,
geo:City_0,geo_city:cityGroup,geo:CityGroup_0,,NO internal field name but auto linking,,,,,,,,,,,,,,,,
geo:City_0,geo_city:zipCode,String,,of main townhall only,geo_city:zipCode,,,,,,,,,,,,,,,
geo:CityGroup_0,geo_cityGroup:name,String,,TODO mdutoo polymorphism pour : Id : nom + parent = vide en France mais nuts3 en Espagne !! => indexInId différents en France et en Epagne TODO par polymorphisme,geo_cityGroup:name,UNKNOWN_CityGroup,,1,,false,,,"geo:Area_0,o:Ancestor_0",,,,,,,
geo:CityGroup_0,geo_cityGroup:idStat,String,"not in France, in Italy maybe of the Provincia ?",,geo_cityGroup:idStat,,,,,,,,,,,,,,,
geo:CityGroup_0,geo_cityGroup:country,geo:Country_0,,NO internal field name but auto linking,,,,0,,,,,,,,,,,,
geo:TKProvince_0,geo_NUTS:name,String,,TK NUTS3 within Country,Province,UNKNOWN_TKProvince,,1,,false,,,"geo:NUTS_0,geo:Area_0,o:Ancestor_0",,,,,,,
geo:TKProvince_0,geo_NUTS:country,geo:Country_0,,NO internal field name but auto linking,,,,0,,,,,,,,,,,,
geo:Borough_0,geo_borough:city,geo:City_0,,"LATER some / all of city refs : nuts3, nuts2, country...",,,,0,,,,,,,,,,,,
geo:Borough_0,geo_borough:name,String,,id : country + name,,UNKNOWN_Borough,,1,,false,,,"geo:Area_0,o:Ancestor_0",,,,,,,
geo:Borough_0,geo_borough:idStat,String,,NB. Turkey has also subdistrict & neighbourhood BUT those don't provide services,,,,,,,,,"geo:Area_0,o:Ancestor_0",,,,,,,
geo:TKDistrict_0,geo_tkdistrict:name,String,,TK ~= City ; parent => TKProvince,District,UNKNOWN_TKDistrict,,1,,false,,,"geo:Area_0,o:Ancestor_0",,,,,,,
geo:TKDistrict_0,geo_tkdistrict:country,geo:Country_0,,NO internal field name but auto linking,,,,,,,,,,,,,,,,
geo:TKDistrict_0,geo_tkdistrict:province,geo:TKProvince_0,,Ref to its parent NUTS 3 ; NO internal field name but subresource linking,,,,0,,,,,,,,,,,,
