№,Province,District,Sub-District,Neighbourhood,Zip Code
25,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,KÜP KÖYÜ,01720
26,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,MADENLİ KÖYÜ,01720
27,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,MAZILIK KÖYÜ,01720
28,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,TOPALLI KÖYÜ,01720
29,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,UZUNKUYU KÖYÜ,01720
30,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,YAĞBASAN KÖYÜ,01720
31,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,YENİKÖY KÖYÜ,01720
32,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,YETİMLİ KÖYÜ,01720
33,ADANA,ALADAĞ(KARSANTI),MERKEZKÖYLER,YÜKSEKÖREN KÖYÜ,01720
34,ADANA,CEYHAN,BİRKENT,CELİLUŞAĞI MAH.,01920
35,ADANA,CEYHAN,BİRKENT,ESKİKENT MAH.,01920
36,ADANA,CEYHAN,BİRKENT,YENİKENT MAH.,01920
37,ADANA,CEYHAN,BÜYÜKMANGIT,HİLAL MAH.,01920
38,ADANA,CEYHAN,BÜYÜKMANGIT,İSTİKLAL MAH.,01920
39,ADANA,CEYHAN,CEYHAN,ALTIOCAK MAH.,01920
40,ADANA,CEYHAN,CEYHAN,AYTEMİROĞLU MAH.,01920
41,ADANA,CEYHAN,CEYHAN,BELEDİYEEVLERİ MAH.,01920
42,ADANA,CEYHAN,CEYHAN,BOTA MAH.,01920
43,ADANA,CEYHAN,CEYHAN,CİVANTAYAK MAH.,01920
44,ADANA,CEYHAN,CEYHAN,KORUKLU MAH.,01920
45,ADANA,CEYHAN,CEYHAN,KÜÇÜKKIRIM MAH.,01920
46,ADANA,CEYHAN,CEYHAN,ŞEHİTHACIİBRAHİM MAH.,01920
47,ADANA,CEYHAN,CEYHAN,YARSUAT MAH.,01920
48,ADANA,CEYHAN,DORUK,HÜYÜK MAH.,01920
49,ADANA,CEYHAN,DORUK,YEŞİLYURT MAH.,01920
50,ADANA,CEYHAN,DORUK,YÜCE MAH.,01920
51,ADANA,CEYHAN,EMEK,MİTHATPAŞA MAH.,01940
52,ADANA,CEYHAN,EMEK,ŞAHİNÖZBİLEN MAH.,01940
53,ADANA,CEYHAN,EMEK,ULUS MAH.,01940
54,ADANA,CEYHAN,HAMDİLLİ,HAMDİLLİ MAH.,01920
55,ADANA,CEYHAN,KÖSRELİ,BAHÇELİEVLER MAH.,01920
56,ADANA,CEYHAN,KÖSRELİ,CUMHURİYET MAH.,01920
57,ADANA,CEYHAN,KÖSRELİ,DALKIR MAH.,01920
58,ADANA,CEYHAN,KÖSRELİ,DUMLUPINAR MAH.,01920
59,ADANA,CEYHAN,KURTKULAĞI,HÜRRİYET MAH.,01920
60,ADANA,CEYHAN,KURTKULAĞI,İSTİKLAL MAH.,01920
61,ADANA,CEYHAN,KURTPINAR,İNCİRLİ MAH.,01920
62,ADANA,CEYHAN,KURTPINAR,KARATEPE MAH.,01920
63,ADANA,CEYHAN,KURTPINAR,MERKEZ MAH.,01920
64,ADANA,CEYHAN,MERCİMEK,MERKEZ MAH.,01920
65,ADANA,CEYHAN,MERKEZKÖYLER,ADAPINAR KÖYÜ,01920
66,ADANA,CEYHAN,MERKEZKÖYLER,AĞAÇLI KÖYÜ,01920
67,ADANA,CEYHAN,MERKEZKÖYLER,AĞAÇPINAR KÖYÜ,01920
68,ADANA,CEYHAN,MERKEZKÖYLER,AKDAM KÖYÜ,01920
69,ADANA,CEYHAN,MERKEZKÖYLER,ALTIGÖZ KÖYÜ,01920
70,ADANA,CEYHAN,MERKEZKÖYLER,ALTIKARA KÖYÜ,01920
71,ADANA,CEYHAN,MERKEZKÖYLER,AYDINLAR KÖYÜ,01920
72,ADANA,CEYHAN,MERKEZKÖYLER,AZİZLİ KÖYÜ,01920
73,ADANA,CEYHAN,MERKEZKÖYLER,BAŞÖREN KÖYÜ,01920
74,ADANA,CEYHAN,MERKEZKÖYLER,BURHANLI KÖYÜ,01920
75,ADANA,CEYHAN,MERKEZKÖYLER,BÜYÜKBURHANİYE KÖYÜ,01920
76,ADANA,CEYHAN,MERKEZKÖYLER,CAMUZAĞILI KÖYÜ,01920
77,ADANA,CEYHAN,MERKEZKÖYLER,CEYHANBEKİRLİ KÖYÜ,01920
78,ADANA,CEYHAN,MERKEZKÖYLER,ÇAKALDERE KÖYÜ,01920
79,ADANA,CEYHAN,MERKEZKÖYLER,ÇATAKLI KÖYÜ,01920
80,ADANA,CEYHAN,MERKEZKÖYLER,ÇATALHÜYÜK KÖYÜ,01920
81,ADANA,CEYHAN,MERKEZKÖYLER,ÇEVRETEPE KÖYÜ,01920
82,ADANA,CEYHAN,MERKEZKÖYLER,ÇİÇEKLİ KÖYÜ,01920
83,ADANA,CEYHAN,MERKEZKÖYLER,ÇİFTLİKLER KÖYÜ,01920
84,ADANA,CEYHAN,MERKEZKÖYLER,ÇOKÇAPINAR KÖYÜ,01920
85,ADANA,CEYHAN,MERKEZKÖYLER,DAĞISTAN KÖYÜ,01920
86,ADANA,CEYHAN,MERKEZKÖYLER,DEĞİRMENDERE KÖYÜ,01920
87,ADANA,CEYHAN,MERKEZKÖYLER,DEĞİRMENLİ KÖYÜ,01920
88,ADANA,CEYHAN,MERKEZKÖYLER,DİKİLİTAŞ KÖYÜ,01920
89,ADANA,CEYHAN,MERKEZKÖYLER,DOKUZTEKNE KÖYÜ,01920
90,ADANA,CEYHAN,MERKEZKÖYLER,DUMLU KÖYÜ,01920
91,ADANA,CEYHAN,MERKEZKÖYLER,DURHASANDEDE KÖYÜ,01920
92,ADANA,CEYHAN,MERKEZKÖYLER,DUTLUPINAR KÖYÜ,01920
93,ADANA,CEYHAN,MERKEZKÖYLER,EKİNYAZI KÖYÜ,01920
94,ADANA,CEYHAN,MERKEZKÖYLER,ELMAGÖLÜ KÖYÜ,01920
95,ADANA,CEYHAN,MERKEZKÖYLER,ERENLER KÖYÜ,01920
96,ADANA,CEYHAN,MERKEZKÖYLER,GÜMÜRDÜLÜ KÖYÜ,01920
97,ADANA,CEYHAN,MERKEZKÖYLER,GÜNDOĞAN KÖYÜ,01920
98,ADANA,CEYHAN,MERKEZKÖYLER,GÜNLÜCE KÖYÜ,01920
99,ADANA,CEYHAN,MERKEZKÖYLER,GÜNYAZI KÖYÜ,01920
100,ADANA,CEYHAN,MERKEZKÖYLER,HAMİDİYE KÖYÜ,01920
101,ADANA,CEYHAN,MERKEZKÖYLER,HAMİTBEY KÖYÜ,01920
102,ADANA,CEYHAN,MERKEZKÖYLER,HAMİTBEYBUCAĞI KÖYÜ,01920
103,ADANA,CEYHAN,MERKEZKÖYLER,IRMAKLI KÖYÜ,01920
104,ADANA,CEYHAN,MERKEZKÖYLER,ISIRGANLI KÖYÜ,01920
105,ADANA,CEYHAN,MERKEZKÖYLER,İMRAN KÖYÜ,01920
106,ADANA,CEYHAN,MERKEZKÖYLER,İNCETARLA KÖYÜ,01920
107,ADANA,CEYHAN,MERKEZKÖYLER,İNCEYER KÖYÜ,01920
108,ADANA,CEYHAN,MERKEZKÖYLER,İSALI KÖYÜ,01920
109,ADANA,CEYHAN,MERKEZKÖYLER,KARAKAYALI KÖYÜ,01920
110,ADANA,CEYHAN,MERKEZKÖYLER,KILIÇKAYA KÖYÜ,01920
111,ADANA,CEYHAN,MERKEZKÖYLER,KIVRIKLI KÖYÜ,01920
112,ADANA,CEYHAN,MERKEZKÖYLER,KIZILDERE KÖYÜ,01920
113,ADANA,CEYHAN,MERKEZKÖYLER,KÖPRÜLÜ KÖYÜ,01920
114,ADANA,CEYHAN,MERKEZKÖYLER,KÖRKUYU KÖYÜ,01920
115,ADANA,CEYHAN,MERKEZKÖYLER,KUZUCAK KÖYÜ,01920
116,ADANA,CEYHAN,MERKEZKÖYLER,KÜÇÜKBURHANİYE KÖYÜ,01920
117,ADANA,CEYHAN,MERKEZKÖYLER,KÜÇÜKMANGIT KÖYÜ,01920
118,ADANA,CEYHAN,MERKEZKÖYLER,NARLIK KÖYÜ,01920
119,ADANA,CEYHAN,MERKEZKÖYLER,SAĞIRLAR KÖYÜ,01920
120,ADANA,CEYHAN,MERKEZKÖYLER,SARIBAHÇE KÖYÜ,01920
121,ADANA,CEYHAN,MERKEZKÖYLER,SELİMİYE KÖYÜ,01920
122,ADANA,CEYHAN,MERKEZKÖYLER,SİRKELİ KÖYÜ,01920
123,ADANA,CEYHAN,MERKEZKÖYLER,SOĞUKPINAR KÖYÜ,01920
124,ADANA,CEYHAN,MERKEZKÖYLER,SOYSALLI KÖYÜ,01920
125,ADANA,CEYHAN,MERKEZKÖYLER,TATARLI KÖYÜ,01920
126,ADANA,CEYHAN,MERKEZKÖYLER,TATLIKUYU KÖYÜ,01920
127,ADANA,CEYHAN,MERKEZKÖYLER,TOKTAMIŞ KÖYÜ,01920
128,ADANA,CEYHAN,MERKEZKÖYLER,ÜÇDUT KÖYÜ,01920
129,ADANA,CEYHAN,MERKEZKÖYLER,YALAK KÖYÜ,01920
130,ADANA,CEYHAN,MERKEZKÖYLER,YELLİBEL KÖYÜ,01920
131,ADANA,CEYHAN,MERKEZKÖYLER,YENİKÖYNAZIMBEY KÖYÜ,01920
132,ADANA,CEYHAN,MERKEZKÖYLER,YEŞİLBAHÇE KÖYÜ,01920
133,ADANA,CEYHAN,MERKEZKÖYLER,YEŞİLDAM KÖYÜ,01920
134,ADANA,CEYHAN,MERKEZKÖYLER,YILANKALE KÖYÜ,01920
135,ADANA,CEYHAN,MUSTAFABEYLİ,CUMHURİYET MAH.,01920
136,ADANA,CEYHAN,MUSTAFABEYLİ,HÜRRİYET MAH.,01920
137,ADANA,CEYHAN,NAMIKKEMAL,CUMHURİYET MAH.,01950
138,ADANA,CEYHAN,NAMIKKEMAL,GAZİOSMANPAŞA MAH.,01950
139,ADANA,CEYHAN,NAMIKKEMAL,NAMIKKEMAL MAH.,01950
140,ADANA,CEYHAN,SAĞKAYA,SAĞKAYA MAH.,01920
141,ADANA,CEYHAN,SANAYİ,EMEK MAH.,01930
142,ADANA,CEYHAN,SANAYİ,ESENTEPE MAH.,01930
143,ADANA,CEYHAN,SANAYİ,FATİHSULTANMEHMET MAH.,01930
144,ADANA,CEYHAN,SANAYİ,HÜRRİYET MAH.,01930
145,ADANA,CEYHAN,SANAYİ,İNÖNÜ MAH.,01930
146,ADANA,CEYHAN,SARIMAZI,AYDINLI MAH.,01920
147,ADANA,CEYHAN,SARIMAZI,CUMHURİYET MAH.,01920
148,ADANA,CEYHAN,SARIMAZI,ESENTEPE MAH.,01920
149,ADANA,CEYHAN,SARIMAZI,HÜRRİYET MAH.,01920
150,ADANA,CEYHAN,SARIMAZI,LEVENTOĞLU MAH.,01920
151,ADANA,CEYHAN,SARIMAZI,TOROS MAH.,01920
152,ADANA,CEYHAN,TÜRLÜBAŞ,ADATEPE MAH.,01960
153,ADANA,CEYHAN,TÜRLÜBAŞ,AYTEMIROĞLU MAH.,01960
154,ADANA,CEYHAN,TÜRLÜBAŞ,BURHANİYE MAH.,01960
155,ADANA,CEYHAN,TÜRLÜBAŞ,BÜYÜKKIRIM MAH.,01960
156,ADANA,CEYHAN,TÜRLÜBAŞ,İSTİKLAL MAH.,01960
157,ADANA,CEYHAN,TÜRLÜBAŞ,KALTAKİYE MAH.,01960
158,ADANA,CEYHAN,TÜRLÜBAŞ,KELEMETİ MAH.,01960
159,ADANA,CEYHAN,TÜRLÜBAŞ,KONAKOĞLU MAH.,01960
160,ADANA,CEYHAN,TÜRLÜBAŞ,MODERNEVLER MAH.,01960
161,ADANA,CEYHAN,TÜRLÜBAŞ,MURADİYE MAH.,01960
162,ADANA,CEYHAN,TÜRLÜBAŞ,SARISAKAL MAH.,01960
163,ADANA,CEYHAN,TÜRLÜBAŞ,TÜRLÜBAŞ MAH.,01960
164,ADANA,ÇUKUROVA,HUZUREVLERİ,BELEDİYEEVLERİ MAH.,01360
165,ADANA,ÇUKUROVA,HUZUREVLERİ,HUZUREVLERİ MAH.,01360
166,ADANA,ÇUKUROVA,HUZUREVLERİ,YÜZÜNCÜYIL(100.YIL) MAH.,01360
167,ADANA,ÇUKUROVA,MAHFESIĞMAZ,BEYAZEVLER MAH.,01170
168,ADANA,ÇUKUROVA,MAHFESIĞMAZ,ESENTEPE MAH.,01170
169,ADANA,ÇUKUROVA,MAHFESIĞMAZ,GÖKKUYU MAH.,01170
170,ADANA,ÇUKUROVA,MAHFESIĞMAZ,GÜZELYALI MAH.,01170
171,ADANA,ÇUKUROVA,MAHFESIĞMAZ,KABASAKAL MAH.,01170
172,ADANA,ÇUKUROVA,MAHFESIĞMAZ,KARSLILAR MAH.,01170
173,ADANA,ÇUKUROVA,MAHFESIĞMAZ,KOCATEPE MAH.,01170
174,ADANA,ÇUKUROVA,MAHFESIĞMAZ,KURTTEPE MAH.,01170
175,ADANA,ÇUKUROVA,MAHFESIĞMAZ,MAHFESIĞMAZ MAH.,01170
176,ADANA,ÇUKUROVA,MAHFESIĞMAZ,ŞAMBAYADI MAH.,01170
177,ADANA,ÇUKUROVA,MAHFESIĞMAZ,TOROS MAH.,01170
178,ADANA,ÇUKUROVA,MAHFESIĞMAZ,YENİ MAH.,01170
179,ADANA,ÇUKUROVA,MAHFESIĞMAZ,YURT MAH.,01170
180,ADANA,ÇUKUROVA,MERKEZKÖYLER,BOZCALAR KÖYÜ,01170
181,ADANA,ÇUKUROVA,MERKEZKÖYLER,DÖRTLER KÖYÜ,01170
182,ADANA,ÇUKUROVA,MERKEZKÖYLER,FADIL KÖYÜ,01170
183,ADANA,ÇUKUROVA,MERKEZKÖYLER,KABASAKAL KÖYÜ,01170
184,ADANA,ÇUKUROVA,MERKEZKÖYLER,KARAHAN KÖYÜ,01170
185,ADANA,ÇUKUROVA,MERKEZKÖYLER,KÜÇÜKÇINAR KÖYÜ,01170
186,ADANA,ÇUKUROVA,MERKEZKÖYLER,MEMİŞLİ KÖYÜ,01170
187,ADANA,ÇUKUROVA,MERKEZKÖYLER,PİRİLİ KÖYÜ,01170
188,ADANA,ÇUKUROVA,MERKEZKÖYLER,SÖĞÜTLÜ KÖYÜ,01170
189,ADANA,ÇUKUROVA,SALBAŞ,SALBAŞESENTEPE MAH.,01780
190,ADANA,FEKE,FEKE,BELENKÖY MAH.,01660
191,ADANA,FEKE,FEKE,GÖKÇELI MAH.,01660
192,ADANA,FEKE,FEKE,İSLAM MAH.,01660
193,ADANA,FEKE,FEKE,KARACAOĞLAN MAH.,01660
194,ADANA,FEKE,FEKE,KARACAUŞAĞI MAH.,01660
195,ADANA,FEKE,FEKE,KAZANCI MAH.,01660
196,ADANA,FEKE,FEKE,KEKLİKÇİ MAH.,01660
197,ADANA,FEKE,FEKE,SÜLEMİŞLİ(BAHÇELİEVLER) MAH.,01660
198,ADANA,FEKE,FEKE,YEŞİLDÜŞMÜŞ MAH.,01660
199,ADANA,FEKE,MERKEZKÖYLER,AKKAYA KÖYÜ,01660
200,ADANA,FEKE,MERKEZKÖYLER,AKOLUK KÖYÜ,01660
201,ADANA,FEKE,MERKEZKÖYLER,BAĞDATLI KÖYÜ,01660
202,ADANA,FEKE,MERKEZKÖYLER,BAHÇECİK KÖYÜ,01660
203,ADANA,FEKE,MERKEZKÖYLER,ÇANDIRLAR KÖYÜ,01660
204,ADANA,FEKE,MERKEZKÖYLER,ÇONDU KÖYÜ,01660
205,ADANA,FEKE,MERKEZKÖYLER,ÇÜRÜKLER KÖYÜ,01660
206,ADANA,FEKE,MERKEZKÖYLER,DEĞİRMENCİUŞAĞI KÖYÜ,01660
207,ADANA,FEKE,MERKEZKÖYLER,GAFFARUŞAĞI KÖYÜ,01660
208,ADANA,FEKE,MERKEZKÖYLER,GEDİKLİ KÖYÜ,01660
209,ADANA,FEKE,MERKEZKÖYLER,GÖBELLİ KÖYÜ,01660
210,ADANA,FEKE,MERKEZKÖYLER,GÜRÜMZE KÖYÜ,01660
211,ADANA,FEKE,MERKEZKÖYLER,GÜZPINARI KÖYÜ,01660
212,ADANA,FEKE,MERKEZKÖYLER,HIDIRUŞAĞI KÖYÜ,01660
213,ADANA,FEKE,MERKEZKÖYLER,İNCİRCİ KÖYÜ,01660
214,ADANA,FEKE,MERKEZKÖYLER,KALEYÜZÜ KÖYÜ,01660
215,ADANA,FEKE,MERKEZKÖYLER,KAŞALTI KÖYÜ,01660
216,ADANA,FEKE,MERKEZKÖYLER,KAYADİBİ KÖYÜ,01660
217,ADANA,FEKE,MERKEZKÖYLER,KIRIKUŞAĞI KÖYÜ,01660
218,ADANA,FEKE,MERKEZKÖYLER,KISACIKLI KÖYÜ,01660
219,ADANA,FEKE,MERKEZKÖYLER,KIZILYER KÖYÜ,01660
220,ADANA,FEKE,MERKEZKÖYLER,KOÇYAZI KÖYÜ,01660
221,ADANA,FEKE,MERKEZKÖYLER,KONAKKURAN KÖYÜ,01660
222,ADANA,FEKE,MERKEZKÖYLER,KOVUKÇINAR KÖYÜ,01660
223,ADANA,FEKE,MERKEZKÖYLER,MANSURLU KÖYÜ,01660
224,ADANA,FEKE,MERKEZKÖYLER,MUSALAR KÖYÜ,01660
225,ADANA,FEKE,MERKEZKÖYLER,OLUCAK KÖYÜ,01660
226,ADANA,FEKE,MERKEZKÖYLER,ORMANCIK KÖYÜ,01660
227,ADANA,FEKE,MERKEZKÖYLER,ORTAKÖY KÖYÜ,01660
228,ADANA,FEKE,MERKEZKÖYLER,ORUÇLU KÖYÜ,01660
229,ADANA,FEKE,MERKEZKÖYLER,PAŞALI KÖYÜ,01660
230,ADANA,FEKE,MERKEZKÖYLER,SÜPHANDERE KÖYÜ,01660
231,ADANA,FEKE,MERKEZKÖYLER,ŞAHMURATLI KÖYÜ,01660
232,ADANA,FEKE,MERKEZKÖYLER,TENKERLİ KÖYÜ,01660
233,ADANA,FEKE,MERKEZKÖYLER,TOKMANAKLI KÖYÜ,01660
234,ADANA,FEKE,MERKEZKÖYLER,TORTULU KÖYÜ,01660
235,ADANA,FEKE,MERKEZKÖYLER,UĞURLUBAĞ KÖYÜ,01660
236,ADANA,FEKE,MERKEZKÖYLER,YAYLAPINAR KÖYÜ,01660
237,ADANA,FEKE,MERKEZKÖYLER,YEREBAKAN KÖYÜ,01660
238,ADANA,İMAMOĞLU,İMAMOĞLU,ADALET MAH.,01700
239,ADANA,İMAMOĞLU,İMAMOĞLU,CUMHURİYET MAH.,01700
240,ADANA,İMAMOĞLU,İMAMOĞLU,HÜRRİYET MAH.,01700
241,ADANA,İMAMOĞLU,İMAMOĞLU,MENTEŞ MAH.,01700
242,ADANA,İMAMOĞLU,İMAMOĞLU,SAYGEÇİT MAH.,01700
243,ADANA,İMAMOĞLU,İMAMOĞLU,TUNA MAH.,01700
244,ADANA,İMAMOĞLU,MERKEZKÖYLER,AĞZIKARACA KÖYÜ,01700
245,ADANA,İMAMOĞLU,MERKEZKÖYLER,ALAYBEYİ KÖYÜ,01700
246,ADANA,İMAMOĞLU,MERKEZKÖYLER,AYVALI KÖYÜ,01700
247,ADANA,İMAMOĞLU,MERKEZKÖYLER,CAMİLİ KÖYÜ,01700
248,ADANA,İMAMOĞLU,MERKEZKÖYLER,ÇÖRTEN KÖYÜ,01700
249,ADANA,İMAMOĞLU,MERKEZKÖYLER,DANACILI KÖYÜ,01700
250,ADANA,İMAMOĞLU,MERKEZKÖYLER,FAYDALI KÖYÜ,01700
251,ADANA,İMAMOĞLU,MERKEZKÖYLER,HACIHASANLI KÖYÜ,01700
252,ADANA,İMAMOĞLU,MERKEZKÖYLER,KOYUNEVİ KÖYÜ,01700
253,ADANA,İMAMOĞLU,MERKEZKÖYLER,MALIHIDIRLI KÖYÜ,01700
254,ADANA,İMAMOĞLU,MERKEZKÖYLER,OTLUK KÖYÜ,01700
255,ADANA,İMAMOĞLU,MERKEZKÖYLER,PEKMEZCİ KÖYÜ,01700
256,ADANA,İMAMOĞLU,MERKEZKÖYLER,SAYCA KÖYÜ,01700
257,ADANA,İMAMOĞLU,MERKEZKÖYLER,SEVİNÇLİ KÖYÜ,01700
258,ADANA,İMAMOĞLU,MERKEZKÖYLER,SOKUTAŞ KÖYÜ,01700
259,ADANA,İMAMOĞLU,MERKEZKÖYLER,UFACIKÖREN KÖYÜ,01700
260,ADANA,İMAMOĞLU,MERKEZKÖYLER,ULUÇINAR KÖYÜ,01700
261,ADANA,İMAMOĞLU,MERKEZKÖYLER,ÜÇTEPE KÖYÜ,01700
262,ADANA,İMAMOĞLU,MERKEZKÖYLER,YAZITEPE KÖYÜ,01700
263,ADANA,KARAİSALI,KARAİSALI,KARAPINAR MAH.,01770
264,ADANA,KARAİSALI,KARAİSALI,SALBAŞ MAH.,01770
265,ADANA,KARAİSALI,KARAİSALI,SAYPINAR MAH.,01770
266,ADANA,KARAİSALI,KARAİSALI,SELAMPINAR MAH.,01770
267,ADANA,KARAİSALI,KARAİSALI,YENİ MAH.,01770
268,ADANA,KARAİSALI,MERKEZKÖYLER,AKÇALI KÖYÜ,01770
269,ADANA,KARAİSALI,MERKEZKÖYLER,ALTINOVA KÖYÜ,01770
270,ADANA,KARAİSALI,MERKEZKÖYLER,AŞAĞIBELEMEDİK KÖYÜ,01770
271,ADANA,KARAİSALI,MERKEZKÖYLER,AŞAĞIYİRİKLER KÖYÜ,01770
272,ADANA,KARAİSALI,MERKEZKÖYLER,AYAKKIF KÖYÜ,01770
273,ADANA,KARAİSALI,MERKEZKÖYLER,BARAKDAĞI KÖYÜ,01770
274,ADANA,KARAİSALI,MERKEZKÖYLER,BEKİRLİ KÖYÜ,01770
275,ADANA,KARAİSALI,MERKEZKÖYLER,BEYDEMİR KÖYÜ,01770
276,ADANA,KARAİSALI,MERKEZKÖYLER,BOLACALI KÖYÜ,01770
277,ADANA,KARAİSALI,MERKEZKÖYLER,BOZCALAR KÖYÜ,01770
278,ADANA,KARAİSALI,MERKEZKÖYLER,BOZTAHTA KÖYÜ,01770
279,ADANA,KARAİSALI,MERKEZKÖYLER,BUCAK KÖYÜ,01770
280,ADANA,KARAİSALI,MERKEZKÖYLER,ÇAKALLI KÖYÜ,01770
281,ADANA,KARAİSALI,MERKEZKÖYLER,ÇATALAN KÖYÜ,01770
282,ADANA,KARAİSALI,MERKEZKÖYLER,ÇEVLİK KÖYÜ,01770
283,ADANA,KARAİSALI,MERKEZKÖYLER,ÇOCUKLAR KÖYÜ,01770
284,ADANA,KARAİSALI,MERKEZKÖYLER,ÇORLU KÖYÜ,01770
285,ADANA,KARAİSALI,MERKEZKÖYLER,ÇUKUR KÖYÜ,01770
286,ADANA,KARAİSALI,MERKEZKÖYLER,DEMİRÇİT KÖYÜ,01770
287,ADANA,KARAİSALI,MERKEZKÖYLER,DÖRTLER KÖYÜ,01770
288,ADANA,KARAİSALI,MERKEZKÖYLER,DÖŞEKEVİ KÖYÜ,01770
289,ADANA,KARAİSALI,MERKEZKÖYLER,DURAK KÖYÜ,01770
290,ADANA,KARAİSALI,MERKEZKÖYLER,EĞLENCE KÖYÜ,01770
291,ADANA,KARAİSALI,MERKEZKÖYLER,EMELCİK KÖYÜ,01770
292,ADANA,KARAİSALI,MERKEZKÖYLER,ETEKLİ KÖYÜ,01770
293,ADANA,KARAİSALI,MERKEZKÖYLER,FADIL KÖYÜ,01770
294,ADANA,KARAİSALI,MERKEZKÖYLER,FİLİKLİ KÖYÜ,01770
295,ADANA,KARAİSALI,MERKEZKÖYLER,GİLDİRLİ KÖYÜ,01770
296,ADANA,KARAİSALI,MERKEZKÖYLER,GÖKHASANLI KÖYÜ,01770
297,ADANA,KARAİSALI,MERKEZKÖYLER,GÖKKUYU KÖYÜ,01770
298,ADANA,KARAİSALI,MERKEZKÖYLER,GÜLÜŞLÜ KÖYÜ,01770
299,ADANA,KARAİSALI,MERKEZKÖYLER,HACILI KÖYÜ,01770
300,ADANA,KARAİSALI,MERKEZKÖYLER,HACIMUSALI KÖYÜ,01770
301,ADANA,KARAİSALI,MERKEZKÖYLER,KALEDAĞI KÖYÜ,01770
302,ADANA,KARAİSALI,MERKEZKÖYLER,KARAHASANLI KÖYÜ,01770
303,ADANA,KARAİSALI,MERKEZKÖYLER,KARAKILIÇ KÖYÜ,01770
304,ADANA,KARAİSALI,MERKEZKÖYLER,KARAKUYU KÖYÜ,01770
305,ADANA,KARAİSALI,MERKEZKÖYLER,KAŞOBA KÖYÜ,01770
306,ADANA,KARAİSALI,MERKEZKÖYLER,KIRALAN KÖYÜ,01770
307,ADANA,KARAİSALI,MERKEZKÖYLER,KIRIKLI KÖYÜ,01770
308,ADANA,KARAİSALI,MERKEZKÖYLER,KÖRÜKLÜ KÖYÜ,01770
309,ADANA,KARAİSALI,MERKEZKÖYLER,KUŞCUSOFULU KÖYÜ,01770
310,ADANA,KARAİSALI,MERKEZKÖYLER,KUYUCU KÖYÜ,01770
311,ADANA,KARAİSALI,MERKEZKÖYLER,KUZGUN KÖYÜ,01770
312,ADANA,KARAİSALI,MERKEZKÖYLER,KÜÇÜKÇINAR KÖYÜ,01770
313,ADANA,KARAİSALI,MERKEZKÖYLER,MARAŞLI KÖYÜ,01770
