COD_ATECO,DESC_ATECO
17.21,Tessitura di filati tipo cotone
17.22,Tessitura di filati tipo lana cardata
17.23,Tessitura di filati tipo lana pettinata
17.24,Tessitura di filati tipo seta
17.25,Tessitura di altre materie tessili
17.3,FINISSAGGIO DEI TESSILI E DEGLI ARTICOLI DI VESTIARIO
17.4,"CONFEZIONAMENTO DI ARTICOLI TESSILI, ESCLUSI GLI ARTICOLI DI VESTIARIO"
17.40.1,"Confezionamento di biancheria da letto, da tavola e per l'arredamento"
17.40.2,Confezionamento di altri articoli in materie tessili n.c.a.
17.5,ALTRE INDUSTRIE TESSILI
17.51,Fabbricazione di tappeti e moquette
17.52,"Fabbricazione di spago, corde, funi e reti"
17.53,"Fabbricazione di tessuti non tessuti e di articoli in tali materie, esclusi gli articoli di vestiario"
17.54,Fabbricazione di altri tessili
17.54.1,Fabbricazione di feltro e di feltri battuti
17.54.2,"Fabbricazione di nastri, fettucce, stringhe, trecce, etichette, passamanerie di fibre tessili"
17.54.3,"Fabbricazione di tessuti e articoli tessili elasticizzati, impregnati, spalmati, ricoperti, laminati, metallizzati, armati ed accoppiati"
17.54.4,Fabbricazione di tessuti e articoli tessili per usi tecnici
17.54.5,"Fabbricazione di tulle, pizzi, merletti"
17.54.6,Fabbricazione di ricami
17.6,FABBRICAZIONE DI TESSUTI A MAGLIA
17.7,"FABBRICAZIONE DI ARTICOLI DI MAGLIERIA, ESCLUSA LA MAGLIERIA INTIMA"
17.71,Fabbricazione di articoli di calzetteria
17.72,"Fabbricazione di pullover, cardigan ed altri articoli simili a maglia, esclusa la maglieria intima"
18,"CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO; PREPARAZIONE, TINTURA E CONFEZIONE DI PELLICCE"
18.1,CONFEZIONE DI VESTIARIO IN PELLE E IN SIMILPELLE
18.2,"CONFEZIONE DI VESTIARIO IN TESSUTO ED ACCESSORI, ESCLUSO L'ABBIGLIAMENTO IN PELLE E PELLICCIA"
18.21,Confezione di indumenti da lavoro
18.22,"Confezione di abbigliamento esterno, escluso l'abbigliamento in pelle e pelliccia"
18.22.1,"Confezione in serie di abbigliamento esterno, escluso l'abbigliamento in pelle e pelliccia"
18.22.2,"Sartorie: confezione su misura di abbigliamento esterno (escluso quello in pelle e pelliccia), comprese la modifica e le riparazione"
18.23,Confezione di biancheria e maglieria intima; camicieria
18.24,Confezione di altri articoli di abbigliamento ed accessori
18.24.1,Confezioni varie e accessori per l'abbigliamento
18.24.2,"Confezione di abbigliamento sportivo, di indumenti particolari e di altri articoli di abbigliamento n.c.a."
18.24.3,Servizi collegati all'industria dell'abbigliamento
18.3,PREPARAZIONE E TINTURA DI PELLICCE; CONFEZIONE DI ARTICOLI IN PELLICCIA
18.30.1,Preparazione e tintura di pellicce naturali
18.30.2,"Confezione di articoli in pelliccia naturale e artificiale, compresa la riparazione"
19,"PREPARAZIONE E CONCIA DEL CUOIO; FABBRICAZIONE DI ARTICOLI DA VIAGGIO, BORSE, ARTICOLI DA CORREGGIAIO, SELLERIA E CALZATURE IN CUOIO E IN MATERIALE SIMILARE"
19.1,PREPARAZIONE E CONCIA DEL CUOIO; FABBRICAZIONE DI SEMILAVORATI IN PELLE
19.2,"FABBRICAZIONE DI ARTICOLI DA VIAGGIO, BORSE,  ARTICOLI DA CORREGGIAIO E SELLERIA IN CUOIO E IN MATERIALE SIMILARE"
19.3,FABBRICAZIONE DI CALZATURE
19.30.1,Fabbricazione di calzature non in gomma
19.30.2,Fabbricazione di parti e accessori per calzature non in gomma
19.30.3,"Fabbricazione di calzature, suole e tacchi in gomma e plastica"
20,"INDUSTRIA DEL LEGNO E DEI PRODOTTI IN LEGNO ED IN SUGHERO, ESCLUSI I MOBILI; FABBRICAZIONE DI ARTICOLI IN MATERIALI DA INTRECCIO"
20.1,"TAGLIO, PIALLATURA E TRATTAMENTO DEL LEGNO"
20.10.01,Fabbricazione di elementi non assemblati per pavimenti in legno
20.10.02,Altre lavorazioni del legno
20.2,"FABBRICAZIONE DI FOGLI DA IMPIALLACCIATURA; COMPENSATO E PANNELLI DI LEGNO (STRATIFICATI, DI TRUCIOLATO, DI FIBRE E DI LEGNO MASSELLO)"
20.3,FABBRICAZIONE DI CARPENTERIA IN LEGNO E FALEGNAMERIA PER L'EDILIZIA
20.30.1,Fabbricazione di porte e finestre in legno (escluse porte blindate)
20.30.2,Fabbricazione di altri elementi di carpenteria in legno e falegnameria per l'edilizia
20.4,FABBRICAZIONE DI IMBALLAGGI IN LEGNO
20.5,"FABBRICAZIONE DI ALTRI PRODOTTI IN LEGNO, IN SUGHERO E IN MATERIALI DA INTRECCIO"
20.51,Fabbricazione di altri prodotti in legno
20.51.1,Fabbricazione di prodotti vari in legno (esclusi i mobili)
20.51.2,Laboratori di corniciai
20.52,Fabbricazione di articoli in sughero e in materiali da intreccio
20.52.1,Fabbricazione dei prodotti della lavorazione del sughero
20.52.2,Fabbricazione di articoli di materiale da intreccio
21,"FABBRICAZIONE DELLA PASTA-CARTA, DELLA CARTA E DEL CARTONE E DEI PRODOTTI DI CARTA"
21.1,"FABBRICAZIONE DELLA PASTA-CARTA, DELLA CARTA E DEL CARTONE"
21.11,Fabbricazione della pasta-carta
21.12,Fabbricazione della carta e del cartone destinati ad un'ulteriore lavorazione
21.2,FABBRICAZIONE DI ARTICOLI DI CARTA E DI CARTONE
21.21,"Fabbricazione di carta e cartoni ondulati; imballaggi di carta e cartone, esclusi quelli in carta pressata"
21.22,Fabbricazione di prodotti di carta e cartone per uso domestico e igienico-sanitario
21.23,Fabbricazione di prodotti cartotecnici
21.24,Fabbricazione di carta da parati e di rivestimenti murali analoghi
21.25,Fabbricazione di altri articoli di carta e di cartone
22,"EDITORIA, STAMPA E RIPRODUZIONE DI SUPPORTI REGISTRATI"
22.1,EDITORIA
22.11,"Edizione di libri, opuscoli, volantini, libri di musica, carte stradali e simili"
22.12,Edizione di giornali
22.13,Edizione di riviste e periodici
22.14,Edizione di registrazioni sonore
22.15,Altre edizioni
22.2,STAMPA E SERVIZI CONNESSI ALLA STAMPA
22.21,Stampa di giornali
22.22,Altre stampe di arti grafiche
22.23,"Legatoria, rilegatura di libri e di altro materiale stampato"
22.24,Lavorazioni preliminari alla stampa
22.25,Lavorazioni ausiliarie connesse alla stampa
22.3,RIPRODUZIONE  DA ORIGINALI DI SUPPORTI REGISTRATI
22.31,Riproduzione da originali di registrazioni sonore
22.32,Riproduzione da originali di registrazioni video
22.33,Riproduzione da originali di registrazioni informatiche
23,"FABBRICAZIONE DI COKE, RAFFINERIE DI PETROLIO, TRATTAMENTO DEI COMBUSTIBILI NUCLEARI"
23.1,FABBRICAZIONE DI PRODOTTI DI COKERIA
23.20.2,Preparazione o miscelazione di derivati del petrolio (esclusa la petrolchimica)
23.20.4,"Fabbricazione di emulsioni di bitume, di catrame e di leganti per uso stradale"
24.14,Fabbricazione di vari prodotti chimici di base organici
24.2,"FABBRICAZIONE DI PRODOTTI CHIMICI PER L'AGRICOLTURA (ESCLUSI I CONCIMI) E DI INSETTICIDI, TOPICIDI E SIMILI"
24.51.1,"Fabbricazione di saponi e detergenti non per uso personale, di detersivi e di agenti organici tensioattivi"
24.6,FABBRICAZIONE DI ALTRI PRODOTTI CHIMICI
24.64,Fabbricazione di prodotti chimici per uso fotografico
24.66.2,"Fabbricazione di prodotti elettrochimici (esclusa produzione di cloro, soda e potassa) e di prodotti elettrotermici"
24.66.4,Fabbricazione di preparati antidetonanti e antigelo e di altri prodotti chimici vari per uso industriale n.c.a.
24.7,FABBRICAZIONE DI FIBRE SINTETICHE E ARTIFICIALI
25.13,Fabbricazione di altri prodotti in gomma n.c.a.
25.23.01,"Fabbricazione di finestre, porte, tapparelle e maniglie in plastica"
25.24,Fabbricazione di altri articoli in materie plastiche n.c.a.
26.12.02,Altre lavorazioni e trasformazioni del vetro piano
26.14,Fabbricazione di fibre di vetro
26.15.2,"Lavorazione di articoli in vetro a mano e a soffio, compresa la decorazione"
26.22,Fabbricazione di articoli sanitari in ceramica
26.26,Fabbricazione di prodotti refrattari in ceramica ed in terracotta (esclusi i casalinghi)
26.6,"FABBRICAZIONE DI PRODOTTI IN CALCESTRUZZO, CEMENTO, PIETRA ARTIFICIALE E GESSO; CONGLOMERATI BITUMINOSI"
26.61.02,"Fabbricazione di altri prodotti in calcestruzzo, cemento e pietra artificiale per l'edilizia"
26.63.01,Produzione di calcestruzzo
26.64,Produzione di malta
26.70.2,Lavorazione artistica delle pietre e del marmo; lavori in mosaico
26.8,FABBRICAZIONE DI ALTRI PRODOTTI IN MINERALI NON METALLIFERI
27.22,Fabbricazione di tubi e raccordi di acciaio
27.3,ALTRE ATTIVITA' DI PRIMA TRASFORMAZIONE A FREDDO DEL FERRO E DELL'ACCIAIO
27.33,Profilatura mediante formatura o piegatura a freddo del ferro e dell'acciaio
27.43,"Produzione di zinco, piombo e stagno e semilavorati"
27.52,Fusione di acciaio
28.12,"Fabbricazione di porte e finestre in metallo; fabbricazione, installazione e riparazione di tende da sole con strutture metalliche"
28.2,"FABBRICAZIONE, INSTALLAZIONE E RIPARAZIONE DI CISTERNE, SERBATOI E CONTENITORI IN METALLO DI CAPACITA' SUPERIORE A 300 LITRI; FABBRICAZIONE DI RADIATORI E CALDAIE PER IL RISCALDAMENTO CENTRALE"
28.3,"FABBRICAZIONE, INSTALLAZIONE E RIPARAZIONE DI GENERATORI DI VAPORE, ESCLUSE LE CALDAIE PER IL RISCALDAMENTO CENTRALE"
28.40.3,Imbutitura e profilatura di lamiere di metallo; tranciatura e lavorazione a sbalzo
28.5,TRATTAMENTO E RIVESTIMENTO DEI METALLI; LAVORAZIONI DI MECCANICA GENERALE
28.62,Fabbricazione di utensileria ad azionamento manuale; parti intercambiabili per macchine utensili
28.73,Fabbricazione di prodotti fabbricati con fili metallici
28.74.2,Fabbricazione di molle
28.75.1,"Fabbricazione di stoviglie, pentolame, vasellame, attrezzi da cucina e accessori casalinghi non elettrici, articoli metallici per l'arredamento di stanze da bagno"
28.75.4,Fabbricazione di armi bianche
29,"FABBRICAZIONE, INSTALLAZIONE, RIPARAZIONE E MANUTENZIONE DI MACCHINE ED APPARECCHI MECCANICI"
29.11.2,"Fabbricazione , installazione, riparazione e manutenzione di turbine idrauliche e termiche e di altre macchine che producono energia meccanica, compresi parti e accessori"
29.14,"Fabbricazione, installazione, riparazione e manutenzione di cuscinetti, ingranaggi e organi di trasmissione"
29.2,"FABBRICAZIONE , INSTALLAZIONE, RIPARAZIONE E MANUTENZIONE DI ALTRE MACCHINE DI IMPIEGO GENERALE"
29.21.2,Riparazione e manutenzione di fornaci e bruciatori
29.22.11,"Fabbricazione e installazione di ascensori, montacarichi e scale mobili, esclusa l'installazione negli edifici da parte di imprese non produttrici"
29.22.13,Fabbricazione e installazione di altre macchine e apparecchi di sollevamento e movimentazione
29.23,"Fabbricazione, installazione, riparazione e manutenzione di attrezzature di uso non domestico per la refrigerazione e la ventilazione"
29.24,"Fabbricazione, installazione, riparazione e manutenzione di altre macchine di impiego generale n.c.a."
29.24.2,"Fabbricazione e installazione di bilance e di macchine automatiche per la vendita e la distribuzione, compresi parti staccate e accessori"
29.24.32,Fabbricazione e installazione di macchine per la pulizia (comprese le lavastoviglie) per uso non domestico
29.24.4,"Fabbricazione e installazione di macchine e apparecchi per le industrie chimiche, petrolchimiche e petrolifere, compresi parti e accessori"
29.24.6,Riparazione e manutenzione di altre macchine di impiego generale n.c.a.
29.24.62,"Riparazione e manutenzione di macchine per le industrie chimiche, petrolchimiche e petrolifere"
29.24.64,"Riparazione e manutenzione di estintori, compresa la ricarica"
29.3,"FABBRICAZIONE, INSTALLAZIONE, RIPARAZIONE E MANUTENZIONE DI MACCHINE PER L'AGRICOLTURA E LA SILVICOLTURA"
29.31.2,Riparazione e manutenzione di trattori agricoli
29.32.2,"Riparazione e manutenzione di altre macchine per l'agricoltura, la silvicoltura e la zootecnia"
29.43,"Fabbricazione, installazione, riparazione e manutenzione di altre macchine utensili ed accessori, escluse le parti intercambiabili"
29.52.02,"Fabbricazione, installazione, riparazione e manutenzione di altre macchine per miniere, cave e cantieri"
29.53.01,"Fabbricazione, installazione, riparazione e manutenzione di macchine per il settore lattiero-caseario"
29.53.03,"Fabbricazione, installazione, riparazione e manutenzione di macchine per i settori dolciario, della panificazione e delle paste alimentari"
29.53.05,"Fabbricazione, installazione, riparazione e manutenzione di altre macchine per l'industria alimentare, delle bevande e del tabacco"
29.54.11,"Fabbricazione, installazione, riparazione e manutenzione di macchine per cucire e per maglieria"
29.54.2,"Fabbricazione, installazione, riparazione e manutenzione di macchine e apparecchi per l'industria delle pelli, del cuoio e delle calzature, compresi parti e accessori"
29.56,"Fabbricazione, installazione, riparazione e manutenzione di altre macchine per impieghi speciali, compresi parti e accessori"
29.56.12,"Fabbricazione, installazione, riparazione e manutenzione di altre macchine per impieghi speciali n.c.a., compresi parti e accessori"
29.56.3,"Fabbricazione, riparazione e manutenzione  di stampi, portastampi, sagome e forme in metallo"
29.6,"FABBRICAZIONE, INSTALLAZIONE, RIPARAZIONE E MANUTENZIONE DI ARMI, SISTEMI D'ARMA E MUNIZIONI, COMPRESI PARTI E ACCESSORI"
30.02,"Fabbricazione di elaboratori, sistemi e altre apparecchiature informatiche compresi gli accessori, escluse l'installazione, la riparazione e la manutenzione"
31.2,"FABBRICAZIONE, INSTALLAZIONE, RIPARAZIONE E MANUTENZIONE DI APPARECCHIATURE PER LA DISTRIBUZIONE E IL CONTROLLO DELL'ELETTRICITA'"
31.20.2,"Installazione, riparazione e manutenzione di apparecchiature per la distribuzione e il controllo dell'elettricita'"
31.50.02,Fabbricazione di lampadine e lampade elettriche
31.62.2,"Installazione, riparazione e manutenzione di impianti elettrici e di altre apparecchiature elettriche n.c.a.,escluse le installazioni elettriche negli edifici"
32.20.2,"Fabbricazione e installazione di apparecchi e impianti per telecomunicazioni, esclusa l'installazione da parte di imprese non produttrici"
33.10.2,"Fabbricazione, installazione, riparazione e manutenzione di strumenti medicali per diagnosi, di materiale medico-chirurgico e veterinario, di strumenti per odontoiatria, compresi parti e accessori"
33.10.4,"Fabbricazione e riparazione di protesi ortopediche, altre protesi ed ausili"
33.20.3,"Fabbricazione di strumenti per navigazione, idrologia, geofisica e meteorologia e di sistemi di radiocontrollo satellitare, compresi parti e accessori"
33.20.5,"Riparazione e manutenzione di apparecchi di misura, controllo, prova, navigazione, strumenti scientifici e di precisione, esclusi quelli di precisione ottici e di controllo dei processi industriali"
33.40.3,"Fabbricazione di elementi ottici, compresa la fabbricazione di fibre ottiche non individualmente inguainate"
33.40.5,"Fabbricazione di apparecchiature fotografiche e cinematografiche, incluse quelle digitali, compresi parti e accessori"
34.20.02,Fabbricazione di rimorchi e semirimorchi di autoveicoli
34.20.04,"Altre lavorazioni affini alla fabbricazione di carrozzerie: allestimenti di autoveicoli, rimorchi e semirimorchi (comprese la coibentazione e la blindatura), ecc."
35.11.1,"Cantieri navali per costruzioni metalliche, compresa l'attivita' di impiantistica"
35.12,"Costruzione, riparazione e manutenzione di imbarcazioni da diporto e sportive, compresa l'attivita' di impiantistica"
35.20.2,"Costruzione di materiale rotabile tranviario, filoviario e per metropolitane, compresa l'attivita' di impiantistica"
35.3,"COSTRUZIONE, RIPARAZIONE E MANUTENZIONE DI AEROMOBILI E DI VEICOLI SPAZIALI, COMPRESA L'ATTIVITA' DI IMPIANTISTICA"
35.41.2,"Fabbricazione di parti e accessori per motocicli e ciclomotori, escluse le parti dei motori"
35.42.2,Fabbricazione di parti e accessori di biciclette
35.50.2,Fabbricazione di veicoli in legno; fabbricazione di parti e accessori in legno per autoveicoli
